Ticker,Company Name
GPRO34.SA,GoPro BDR
MSPA3.SA,Companhia Melhoramentos
HFOF11.SA,Hedge Top Fofii 3 FII
RBRF11.SA,FII RBR ALPHA Fundo
HAPV3.SA,Hapvida
GNDI3.SA,Notre Dame
BIDI4.SA,Banco Inter PN
JPSA3.SA,Jereissati Participacoes
GPIV33.SA,GP Invest DRC A
IRDM11.SA,IRIDIUM RECEBÍVEIS IMOBILIÁRIOS
FOFT11.SA,CSHG TOP FOFII 2
THRA11.SA,FII CYRELA THERA CORPORATE
TAEE4.SA,TAEE Pref
BIDI4T.SA,Banco Inter PN Termo
XPLG11.SA,XP LOG FII
RBRR11.SA,FII RBR Rendimento High Grade
WPLZ11.SA,Fundo Inves
MGFF11.SA,FII Mogno Fundo De Fundos
TGAR11.SA,FII TG Ativo Real
HGRU11.SA,CSHG RENDA URBANA FII
ALUP3.SA,Alupar Invest
ALUP4.SA,Alupar Invest Pref
LOGG3.SA,Log Commercial Properties
KNHY11.SA,KINEA HIGH YIELD CRI FII
OUCY11.SA,OURINVESTY CYRELA FII
FVPQ11.SA,FII VIA PARQUE SHOPPING
TASA13.SA,Taurus Armas Right Series B
TASA15.SA,Taurus Armas Right Series C
TASA17.SA,Taurus Armas Right Series D
CARE11.SA,Brazilian Graveyard and Death Care Services FII
TAEE3.SA,TAEE 3
XPIN11.SA,FII XP Industrial
VSHO11.SA,FI Imobiliario Votorantim Shopping
DMMO11.SA,Dommo Energia
AZEV3.SA,Azevedo Travassos
AHEB3.SA,Sao Paulo Turismo
BALM3.SA,Baumer
BPAC3.SA,Banco BTG Pactual
EALT3.SA,Electro Aco Altona
ECPR3.SA,Encorpar
HAGA3.SA,Haga Industria Comercio
ITEC3.SA,Itautec
LIPR3.SA,Eletrobras Eletropar
PATI3.SA,Panatlantica
PEAB3.SA,Alianca Bahia
SULA3.SA,Sul America Pref
BPAC5.SA,Banco BTG Pactual Pref
BRGE11.SA,Alfa Administracao Pref E
BRGE12.SA,Alfa Administracao Pref F
BRGE6.SA,Alfa Administracao Pref
CELP6.SA,Eletricas Para CELPA Pref B
CELP7.SA,Eletricas Para CELPA Pref  C
CORR4.SA,Correa Ribeiro
EEEL4.SA,Estadual Geracao Transmissao
ENMT4.SA,Energisa Mato Grosso
LUXM4.SA,Trevisa Invest
MEND6.SA,Mendes Junior
MERC4.SA,Mercantil Brasil Financeira
RSUL4.SA,Metalurgica Riosulense
SULA4.SA,Sul America
BEEF11.SA,Minerva
JBDU1.SA,Industrias JB Duarte Right 1
JBDU2.SA,Industrias JB Duarte Right 2
LOGN12.SA,Log-in Logistica Right
MYPK12.SA,Iochpe Maxion Right 12
PATC11.SA,PATRIA EDIFICIOS CORPORATIVOS FII
BBDC3.SA,BRADESCO ON
VGIR11.SA,VALORA RE III FII
VILG11.SA,VINCI LOGISTICA FII
CNTO3.SA,Grupo SBF
BTCR11.SA,FII BTG PACTUAL CREDITO IMOBILIARIO
VAMO3.SA,Grupo Vamos
CAMB10.SA,Cambuci Pref
IDVL9.SA,Banco Indusval
MELI34.SA,Mercadolibre BDR
MOAR3.SA,Monteiro Aranha
RBVA11.SA,FII Rio Bravo Rendo Varejo
MRSA3B.SA,MRS Logistica
VTLT11.SA,FI Imobiliario Votorantim Logistica
GTWR11.SA,FII Green Towers
BIDI11.SA,Banco Inter Unit
BIDI3.SA,Banco Inter ON
DMAC11.SA,MAC Fundo de Investimento Imobiliario
TFOF11.SA,Hedge Top FOFII
HCTR11.SA,Hectare Ce Fdo Inv Imob
TIET2.SA,Aes Tiete Energia Pref Rights
HSML11.SA,HSI Malls FII
XPHT11.SA,XP HOTEIS FDO INV IMOB
XPHT12.SA,XP HOTEIS FII
HABT11.SA,FII HABIT II
RECT11.SA,FII UBS (BR) OFFICE
AQLL11.SA,Áquilla
ARFI11B.SA,Áquilla Renda
ATCR11.SA,HAZ
BARI11.SA,Barigui Rendimento Imobiliários I
BBIM11.SA,BB Recebiveis Imobiliários
BMII11.SA,Brasilio Machado
BPRP11.SA,FII BRLPROP
BRHT11B.SA,BR Hotéis
BVAR11.SA,Brasil Varejo
DAMT11B.SA,Diamante
DOVL11B.SA,DOVEL
ELDO11B.SA,Eldorado
ERPA11.SA,Europa 105
FINF11.SA,Infra Real State
FISC11.SA,SC 401
FISD11.SA,São Domingos
FPNG11.SA,Pedra Negra Renda Imobiliária
FTCE11B.SA,Opportunity
GESE11B.SA,General Severiano
HBTT11.SA,General Severiano
HGFF11.SA,CSHG Imobiliário FOF
HUSC11.SA,Hospital Unimed Sul Capixaba
JPPC11.SA,JPP Capital
KINP11.SA,Even Permuta Kinea
LATR11B.SA,Lateres
NCHB11.SA,NCH Brasil Recebíveis Imobiliários
NPAR11.SA,Nestpar
NVHO11.SA,Novo Horizonte
NVIF11B.SA,Nova I
ORPD11.SA,Ouro Preto Desenvolvimento Imobiliário I
OULG11B.SA,Ourinvest Logistica
PBLV11.SA,Prologis Brazil Logistics Venture
PRSN11B.SA,Personale I
PRTS11.SA,Multi Properties
RBCO11.SA,RB Capital Office Income
RBFF11.SA,Rio Bravo IFIX
RBRP11.SA,RBR Properties
RBRY11.SA,RBR Private Crédito Imobiliário
