Ticker,Company Name
FCFL11,Campus Faria Lima FII
FEXC11,FII Excellence
FIIP11B,RB Capital
FLRP11,Floripa Shopping FII
FVBI11,VBI FL 4440 FII
HCRI11,FII Hospital da Crianca
HTMX11,FII Hotel Maxinvest
JRDM11,FII BM Jardim Sul
MAXR11,Max Retail FII
NSLU11,FII Nossa Senhora De Lourdes
TRNT11,FII Torre Norte
WPLZ11B,Fundo Inves
ARNC34,Arconic BDR
ABBV34,AbbVie DRC
BBYY34,Best Buy
BCRI11,Banestes Recebiveis FII
BIIB34,Biogen DRC
BLAK34,BlackRock DRC
CHKE34,Chesapeake Energy
COWC34,Costco Wholesale DRC
CTSH34,Cognizant Tech DRC
CVSH34,CVS Health DRC
CXRI11,FII Caixa Rio Bravo
DEAI34,Delta Air Lines
FSLR34,First Solar Inc
GILD34,Gilead Sciences DRC
GOGL34,Alphabet A BDR
GOGL35,Alphabet C BDR
GPSI34,Gap
JCPC34,J C Penney
MACY34,Macy’s
MDTC34,Medtronic DRC
RIGG34,Transocean
ROST34,Ross Stores DRC
SANC34,Sanchez Energy
SCHW34,Charles Schwab
SPRN34,Sprint DRC
SSFO34,Salesforce.com DRC
TMOS34,Thermo Fisher Scientific
TRVC34,Travelers Companies DRC
USSX34,United States Steel
VLOE34,Valero Energy DRC
WSON33,Wilson Sons
AALR3,Centro de Imagem Diagnosticos
AFLT3,Afluente Transmissao de Energia
BGIP3,Banco do Estado de Sergipe
BNFS11,FII Banrisul Novas Fronteiras
CBOP11,FII Castello Branco Office
CEBR3,CEB
CEDO3,Cedro Cachoeira
ESUD11,FIP Infra-Estr BB Votorantim Ener Sustentavel II A
ESUT11,FIP Infra-Estr BB Votorantim Ener Sustentavel III
FIIB11,FII Industrial do Brasil
FIVN11,FII Vida Nova
FMOF11,FII Memorial Office
FNOR11,FINOR
FSPE11,FI Setoriais Fiset Pesca
FSTU11,Fuente Internacional de Servicios para Turistas
GPAR3,Celgpar
GRLV11,CSHG GR Louveira FII
MAPT3,Cemepe Investimentos
MMXM11,MMX Mineracao e Metalicos
PABY11,FII Panamby
PATI4,Panatlantica
PLRI11,Polo FII Recebiveis Imobiliarios I
PORD11,Polo FII Recebiveis Imobiliarios II
RBDS11,FII RB Capital Desenvolvimento Residencial II
RPAD3,Alfa Holdings
SCPF11,SCP FII
VSPT3,Ferrovia Centro Atlantica
XPOM11,FIP XP Omega I
POMO10,Marcopolo
AIGB34,AIG BDR
DUKB34,Duke Energy
MOVI3,Movida Participacoes
PARD3,Instituto Hermes Pardini
BPAC11,Banco BTG
PPLA11,BTG Pactual Unit
AALL34,American Airlines DRC
GMCO34,General Motors
LBRN34,L Brands DRC
TWTR34,Twitter
UPAC34,Union Pacific
RNEW3,Renova Energia
RNEW4,Renova Energia Pref
AZUL4,Azul SA Pref
KNIP11,Kinea Private Equity
TEND3,Tenda
TSLA34,Tesla Motors DRC
CRFB3,Atacadao
GBIO33,Biotoscana Invest
OMGE3,Omega Geracao
IRBR3,IRB Brasil Resseguros
GGRC11,GGR Covepi Renda FII
GEPA3,Rio Paranapanema Energia
SAPR3,SANEPAR ON N2
CAML3,Camil Alimentos
VISC11,Vinci Shopping Centers FII
SUZB3,Suzano Papel Celulose
SAPR11,Parana Sanepar Unit
BRDT3,Petrobras Distribuidora
NEOE3,NEOENERGIA
BKBR3,BK BRASIL OPERACAO
FMXB34,Fomento Economico Mexicano DRC
CLGN34,Celgene DRC
HONB34,Honeywell DRC
ALZR11,Alianza Trust Renda Imobiliaria
GFSA1,Gafisa
DDNB34,DuPont Nemours
UBSG34,UBS BDR
TXRX4,Textil Renauxview Pref
OUJP11,Ourinvest JPP FII
BCIA11,Bradesco Carteira Ativa FII
BOXP34,Boston Properties DRC
GPRO34,GoPro BDR
MSPA3,Companhia Melhoramentos
HFOF11,Hedge Top Fofii 3 FII
